start_time,end_time,duration,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,precipitation,temperature,wind_speed,weather,sunshine,season,is_holiday,is_weekend
2023-05-02 13:00:00,2023-05-02 13:00:00,390,301,Lars Hilles,60.3881178890904,5.331487235597251,644,Solheimsgaten (ved Extra),60.37514055132067,5.338517421420761,0.0,8.7,5.8,4,19,0,False,False
2023-05-02 14:00:00,2023-05-02 14:00:00,219,219,Jonsvollkvartalet,60.39267683527631,5.317308285189142,117,Verftet,60.395877002094046,5.307755827707297,0.0,10.8,5.0,4,37,0,False,False
2023-05-02 14:00:00,2023-05-02 15:00:00,581,644,Solheimsgaten (ved Extra),60.37514055132067,5.338517421420761,1890,Christian Michelsens institutt,60.38971028611195,5.314041873201262,0.0,10.8,5.0,4,37,0,False,False
2023-05-02 14:00:00,2023-05-02 14:00:00,663,803,Permanenten,60.3906427466302,5.324397430398562,1047,Welhavens gate 64,60.38445114789948,5.324440726278226,0.0,10.8,5.0,4,37,0,False,False
2023-05-02 14:00:00,2023-05-02 14:00:00,296,814,Nykirken,60.396949224333255,5.313494727727743,150,Torget,60.39587808663882,5.325283812313046,0.0,10.8,5.0,4,37,0,False,False
2023-05-02 14:00:00,2023-05-02 14:00:00,405,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,58,Tårnplass,60.39375532002469,5.3217920958013565,0.0,10.8,5.0,4,37,0,False,False
2023-05-02 15:00:00,2023-05-02 16:00:00,189,1892,Neumanns gate II,60.39097915423838,5.320656172070585,815,Gågaten,60.395070112977045,5.31879835082907,0.0,10.0,5.9,4,41,0,False,False
2023-05-02 15:00:00,2023-05-02 15:00:00,200,368,Festplassen,60.391123958982405,5.325713785893413,794,St. Jakobs Plass,60.38668149584837,5.3309780770646,0.0,10.0,5.9,4,41,0,False,False
2023-05-02 15:00:00,2023-05-02 15:00:00,532,5,Moxy Hotellet,60.37878279018753,5.3333274872102265,799,HF-Bygget,60.387853713374845,5.318712852428234,0.0,10.0,5.9,4,41,0,False,False
2023-05-02 15:00:00,2023-05-02 16:00:00,834,220,Møllendalsplass,60.379685765470725,5.3519936304809335,816,Østre Murallmenningen nedre,60.39514386434325,5.320002322335455,0.0,10.0,5.9,4,41,0,False,False
